id,title,link,score,review
63,버즈 오브 프레이(할리 퀸의 황홀한 해방),https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187350&target=after,1,DC에 짱깨가 묻으니...할리퀸을 이리 망가트려놓네 쿵푸허슬에 사자후를 보는순간..ㅋㅋㅋ존윅 액션감독도 어쩔도리가 없는.슬로우펀치와..가서 맞아주는씬들에 실소를  컬러감은 좋았음!!걸크러시영화를 보고싶다면 아토믹블론드나 넷에 케이트 보시길
64,귀문,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=206168&target=after,4,넷플릭스에 있어서 봤는데 생각보다 스토리가 탄탄하지 못한 느낌을 받았어요 ㅠ 그리고 여자 귀신 웃음 소리가 '킷캣' 거려서 약간 집중 안 돼요 ㅠㅠ
65,위대한 쇼맨,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=106360&target=after,10,노래나오는 부분 보고 바로사서 봄노래도 좋고 스토리도 좋아서 재밌게봄
66,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=205968&target=after,10,주변에서 어른제국이 제일 띵작이라하는데그것을 뛰어넘는 영화라고 생각합니다.두려움이 지배했을때 어른들이 보여준 태도들을 보며 스스로를 되돌아보게된 영화입니다.제 주관으론 짱구 극장판중 1위입니다. 아이들이 같이 보는 것이기에 유치한 부분도 있지만 어른들을 위한 짱구 극장판인듯
67,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,4,"시끄럽고 지루하다 , 끝나고 시끄러운 영화사운드만 뇌아리 치더라"
68,트롤: 월드 투어,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191633&target=after,10,노래가 정말정말 좋아요..정말로
69,고장난 론,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=209496&target=after,10,따뜻한 로봇과 인간의 우정
70,고장난 론,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=209496&target=after,10,재치와 기발함이 넘치는 따뜻한 스토리~ 힐링 제대로 하고 옴~~
71,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,6,마동석이 주인공인데 ...진짜보는내내 졸림유치함뭔내용인지 복잡해 너무지금까지 마블다봣는데샹치보다 더지루한거같음ㅜㅜ
72,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,3,마블은 pc사상을 버려야한다
73,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,1,영화 보면서 영화관 나가고 싶다고 생각한적이 처음임
74,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,10,마블 최고다 진짜ㅋㅋㅋ 마동석도 최고 ㅋㅋㅋ
75,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,3,End of P.C. 클로이자오는 일기쓰려면 인디영화서 할것을..앤트맨이여 시간을 되돌려다오
76,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,10,
77,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,2,이해안가고 지루하고 겁나 길어요 두시간 삼십분 ㄷㄷ중간에 잠
78,밀양,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=48747&target=after,10,"인생이라는 고통의 연속에서 살아가는 수많은 인간의 나약함에 한줄기 빛이 되어주는 종교.그러나 종교의 영역은 한계가 있음을, 오로지 '나'의 몫임을."
79,시간이탈자,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=124025&target=after,6,드라마 시그널과 영화 클래식 혼합
80,이터널스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=184311&target=after,3,ㄹㅇ내가여태본 마블영화중 가장 재미없었다
81,고장난 론,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=209496&target=after,8,첨에 비봇소개할때가 가장 흥미로웠고 그 뒤로는 쫌..그래도 8점.
82,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,9,"대작의 탄생을 알리는 서막.캐스팅부터 배우들의 연기,압도적인 사운드와 연출까지몰입하고 볼 수 밖에 없는 경지였다."
83,싱크홀,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=188472&target=after,6,"킬링타임으로 괜찮았다. CG가 별로고, 스토리도 뛰어나진 않음."
84,인질,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=185614&target=after,8,황정민이 황정민이라니 소재가 신선했다.
85,함정,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=130765&target=after,5,유일하게 마동석캐릭터중에서 가장 거부감들었던 영화
86,모가디슈,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=192150&target=after,10,연기 구멍도 없고 너무 재밌었다. 결말의 시선이 여운이 남는다.
87,베놈 2: 렛 데어 비 카니지,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187323&target=after,10,케릭터의 가치ㅎㅎ 재밌게 봤어요ㅎㅎ 스파이더맨 촉수 버전 같기도 하고 기생수의 코믹버전 같기도 하고ㅎㅎ
88,할로윈 킬즈,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=190727&target=after,8,마이클 마이어스는 이정도면 불사신이 아닐까?
89,괴기맨숀,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=205629&target=after,10,개무서워요 오줌 지릴뻔했어요ㅜㅠ
90,아네트,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=206657&target=after,10,"영화속 상황들은 불친절하나 연출은 친절하다. 감정을 음악과, 직관적으로 영상으로 표현해 난해해 보일 순 있지만 개인적으로는 그 점이 가장 재밌었다. 간만에 독특한 연출봐서 좋았고 연기야 뭐 당연히 좋고 음악도 좋았다."
91,날씨의 아이,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=181114&target=after,7,신카이 마코토 작품 아니랄까봐 영상미와 OST가 끝장난다.
92,팜 스프링스,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191820&target=after,6,남주넘귀요미에요 보기좋은커플
93,007 노 타임 투 다이,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=99702&target=after,7,빌런(라미 말렉) 사용이 조금 아쉬웠고 액션은 너무 좋았다.
